股票代號,股票名稱,收盤價,月平均價
"0050","元大台灣50","112.35","114.89"
"0051","元大中型100","52.05","52.79"
"0052","富邦科技","95.85","98.08"
"0053","元大電子","53.80","55.01"
"0055","元大MSCI金融","21.65","21.86"
"0056","元大高股息","25.73","25.62"
"0057","富邦摩台","80.20","81.92"
"0061","元大寶滬深","18.49","18.59"
"006203","元大MSCI台灣","54.55","55.72"
"006204","永豐臺灣加權","72.25","73.63"
"006205","富邦上証","31.18","31.41"
"006206","元大上證50","30.05","30.06"
"006207","FH滬深","24.47","24.56"
"006208","富邦台50","63.60","64.95"
"00631L","元大台灣50正2","96.05","99.80"
"00632R","元大台灣50反1","5.84","5.74"
"00633L","富邦上証正2","39.85","39.44"
"00634R","富邦上証反1","4.50","4.50"
"00635U","期元大S&P黃金","23.18","23.15"
"00636","國泰中國A50","21.39","21.22"
"00636K","國泰中國A50+U","6.95","6.92"
"00637L","元大滬深300正2","15.69","15.52"
"00638R","元大滬深300反1","9.47","9.49"
"00639","富邦深100","12.58","12.61"
"00640L","富邦日本正2","28.09","28.72"
"00641R","富邦日本反1","9.72","9.61"
"00642U","期元大S&P石油","16.10","16.27"
"00643","群益深証中小","14.75","14.95"
"00645","富邦日本","25.86","26.13"
"00646","元大S&P500","36.74","37.78"
"00647L","元大S&P500正2","50.15","53.73"
"00648R","元大S&P500反1","7.58","7.33"
"00650L","FH香港正2","13.30","13.31"
"00651R","FH香港反1","8.73","8.70"
"00652","富邦印度","30.39","30.96"
"00653L","富邦印度正2","47.03","48.36"
"00654R","富邦印度反1","7.80","7.66"
"00655L","國泰中國A50正2","28.32","28.03"
"00656R","國泰中國A50反1","8.43","8.46"
"00657","國泰日經225","32.09","32.77"
"00657K","國泰日經225+U","10.42","10.69"
"00660","元大歐洲50","28.06","28.80"
"00661","元大日經225","34.54","35.32"
"00662","富邦NASDAQ","44.65","46.17"
"00663L","國泰臺灣加權正2","88.40","91.75"
"00664R","國泰臺灣加權反1","6.60","6.49"
"00665L","富邦恒生國企正2","8.45","8.49"
"00666R","富邦恒生國企反1","15.09","15.07"
"00668","國泰美國道瓊","36.81","37.71"
"00668K","國泰美國道瓊+U","11.96","12.30"
"00669R","國泰美國道瓊反1","8.12","7.88"
"00670L","富邦NASDAQ正2","51.75","56.09"
"00671R","富邦NASDAQ反1","6.48","6.24"
"00673R","期元大S&P原油反1","9.21","9.12"
"00674R","期元大S&P黃金反1","13.15","13.15"
"00675L","富邦臺灣加權正2","38.57","40.03"
"00676R","富邦臺灣加權反1","3.62","3.57"
"00678","群益NBI生技","26.45","26.75"
"00680L","元大美債20正2","12.61","12.62"
"00681R","元大美債20反1","17.75","17.75"
"00682U","期元大美元指數","20.84","20.85"
"00683L","期元大美元指正2","22.10","22.14"
"00684R","期元大美元指反1","15.96","15.92"
"00685L","群益臺灣加權正2","34.21","35.54"
"00686R","群益臺灣加權反1","3.95","3.87"
"00688L","國泰20年美債正2","12.48","12.48"
"00689R","國泰20年美債反1","18.45","18.43"
"00690","兆豐藍籌30","25.35","25.94"
"00692","富邦公司治理","27.37","27.88"
"00693U","期街口S&P黃豆","26.13","26.17"
"00700","富邦恒生國企","12.93","12.90"
"00701","國泰股利精選30","22.29","22.38"
"00702","國泰標普低波高息","21.53","22.00"
"00703","台新MSCI中國","15.72","15.76"
"00706L","期元大S&P日圓正2","9.77","9.77"
"00707R","期元大S&P日圓反1","24.30","24.32"
"00708L","期元大S&P黃金正2","24.11","24.09"
"00709","富邦歐洲","22.40","22.83"
"00710B","FH彭博非投等債","18.20","18.13"
"00711B","FH彭博新興債","16.62","16.50"
"00712","FH富時不動產","10.22","10.51"
"00713","元大台灣高息低波","37.18","38.75"
"00714","群益道瓊美國地產","18.67","19.09"
"00715L","期街口布蘭特正2","13.92","14.41"
"00717","富邦美國特別股","14.72","14.78"
"00728","第一金工業30","22.35","22.94"
"00730","富邦臺灣優質高息","16.96","16.74"
"00731","FH富時高息低波","53.45","53.87"
"00732","國泰RMB短期報酬","40.50","40.37"
"00733","富邦臺灣中小","35.69","36.09"
"00735","國泰臺韓科技","24.72","25.15"
"00736","國泰新興市場","19.39","19.58"
"00737","國泰AI+Robo","24.77","25.33"
"00738U","期元大道瓊白銀","23.31","23.06"
"00739","元大MSCI A股","22.90","23.07"
"00752","中信中國50","18.09","18.02"
"00753L","中信中國50正2","11.12","11.13"
"00757","統一FANG+","34.85","35.96"
"00762","元大全球AI","30.53","31.32"
"00763U","期街口道瓊銅","24.33","24.51"
"00770","國泰北美科技","27.61","28.54"
"00771","元大US高息特別股","16.49","16.54"
"00774B","新光中國政金綠債","40.56","40.35"
"00775B","新光投等債15+","34.60","34.64"
"00783","富邦中証500","20.22","20.75"
"00830","國泰費城半導體","23.77","24.50"
"00850","元大臺灣ESG永續","28.63","29.18"
"00851","台新全球AI","22.57","23.32"
"00852L","國泰美國道瓊正2","18.98","20.11"
"00861","元大全球未來通訊","26.33","26.96"
"00865B","國泰US短期公債","40.31","40.05"
"00875","國泰網路資安","24.77","25.51"
"00876","元大全球5G","24.89","25.66"
"00878","國泰永續高股息","16.25","16.44"
"00881","國泰台灣5G+","13.96","14.31"
"00882","中信中國高股息","11.90","11.83"
"00885","富邦越南","11.71","11.77"
"00891","中信關鍵半導體","11.39","11.73"
"00892","富邦台灣半導體","10.27","10.51"
"00893","國泰智能電動車","11.56","12.04"
"00894","中信小資高價30","11.86","12.11"
"00895","富邦未來車","12.36","13.02"
"00896","中信綠能及電動車","13.05","13.36"
"00897","富邦基因免疫生技","8.64","8.91"
"00898","國泰基因免疫革命","7.42","7.64"
"00899","FT潔淨能源","23.26","23.38"
"00900","富邦特選高股息30","10.64","10.77"
"00901","永豐智能車供應鏈","11.77","12.07"
"00902","中信電池及儲能","12.90","13.23"
"00903","富邦元宇宙","8.26","8.57"
"00904","新光臺灣半導體30","10.78","11.09"
"00905","FT臺灣Smart","8.51","8.68"
"00906","大華元宇宙科技50","8.94","9.02"
"00907","永豐優息存股","14.35","14.54"
"00908","富邦入息REITs+","13.37","13.54"
"00909","國泰數位支付服務","14.70","15.22"
"00910","第一金太空衛星","14.87","14.91"
"00911","兆豐洲際半導體","15.04","15.49"
"00912","中信臺灣智慧50","13.84","14.03"
"00913","兆豐台灣晶圓製造","14.61","15.02"
"00915","凱基優選高股息30","15.20","15.28"
"00916","國泰全球品牌50","14.27","14.73"
"00917","中信特選金融","14.64","15.08"
"00918","大華優利高填息30","15.19","15.16"
"00919","群益台灣精選高息","16.41","16.64"
"00920","富邦ESG綠色電力","16.95","17.19"
"01001T","土銀富邦R1","15.99","16.55"
"01002T","土銀國泰R1","18.00","17.99"
"01003T","兆豐新光R1","","20.60"
"01004T","土銀富邦R2","","15.65"
"01007T","兆豐國泰R2","17.77","17.99"
"01009T","王道圓滿R1","8.25","8.40"
"01010T","京城樂富R1","10.04","9.98"
"020000","富邦特選蘋果N","","6.88"
"020002","元富新中國N","","12.81"
"020007","凱基臺灣500N","","31.11"
"020011","統一微波高息20N","6.81","6.84"
"020012","富邦行動通訊N","","6.46"
"020015","統一MSCI美低波N","","15.02"
"020016","統一MSCI美科技N","","16.50"
"020018","統一價值成長30N","","14.41"
"020019","統一特選台灣5GN","","12.17"
"02001L","富邦蘋果正二N","8.81","9.20"
"02001R","富邦蘋果反一N","3.03","2.97"
"02001S","策元大加權策略N","4.85","4.92"
"020020","元大台股領航N","6.26","6.45"
"020022","元大電動車N","5.11","5.19"
"020028","元大特選電動車N","4.93","5.01"
"020029","元大ESG高股息N","4.38","4.47"
"020030","統一智慧電動車N","3.89","3.99"
"020031","統一IC設計臺灣N","3.40","3.48"
"020032","元大綠能N","4.80","4.86"
"020034","元大IC設計N","4.13","4.20"
"030001","華新凱基29購02","2.30","2.54"
"030002","聯發科凱基25購17","0.71","1.23"
"030003","裕民凱基28購01","3.43","3.24"
"030004","長榮航凱基2B購01","2.79","2.86"
"030005","晶豪科凱基25購02","0.74","0.95"
"030006","大立光凱基25購07","0.90","1.03"
"030007","大立光凱基25購08","0.91","0.98"
"030008","大立光凱基26購04","0.98","1.09"
"030009","智原凱基25購03","1.01","1.28"
"030010","敦泰凱基29購02","0.57","0.77"
"030011","致伸凱基25購02","1.19","1.35"
"030012","新唐凱基25購06","1.17","1.36"
"030013","全訊凱基25購01","","1.20"
"030014","祥碩凱基27購01","1.51","1.72"
"030015","聯茂凱基25購04","1.63","1.98"
"030016","致新凱基25購01","1.08","1.26"
"030017","富鼎凱基28購01","0.77","0.88"
"030018","威盛中信25購01","1.17","1.31"
"030019","大立光中信25購03","","0.39"
"03001P","臺股指群益23售16","0.66","0.60"
"030020","大立光中信26購03","","0.43"
"030021","志強中信25購01","0.48","0.79"
"030022","振樺電中信25購01","","0.37"
"030023","台積電國泰27購08","2.19","2.68"
"030024","台積電國泰27購09","1.79","2.26"
"030025","華新法興25購01","1.47","1.64"
"030026","可成法興25購01","0.62","0.98"
"030027","大立光法興25購01","2.32","2.48"
"030028","群創法興25購02","0.59","0.92"
"030029","日月光法興25購01","2.89","3.64"
"03002P","長榮元大24售32","0.59","0.85"
"030030","慧洋富邦26購01","0.97","0.91"
"030031","智原富邦29購01","0.59","0.69"
"030032","敦泰富邦26購01","0.54","0.79"
"030033","臺股指富邦26購04","0.66","0.87"
"030034","電子類富邦26購01","0.85","1.05"
"030035","元石油元大25購02","","0.40"
"030036","道瓊反元大28購03","0.80","0.69"
"030037","美指2X元大26購01","0.60","0.63"
"030038","台泥元大25購02","1.69","1.72"
"030039","中砂元大25購04","1.07","1.37"
"03003P","臺股指群益23售17","1.80","1.59"
"030040","裕隆元大25購11","4.40","4.86"
"030041","鴻海元大2A購08","","1.50"
"030042","鴻海元大2B購03","","1.62"
"030043","國巨元大25購06","","1.88"
"030044","台積電元大2A購21","2.40","2.70"
"030045","台積電元大2B購08","2.14","2.43"
"030046","技嘉元大25購05","0.67","0.82"
"030047","威盛元大25購06","1.17","1.35"
"030048","京元電元大25購03","","1.54"
"030049","宏達電元大2B購02","","1.92"
"03004P","臺股指群益23售18","2.14","1.88"
"030050","萬海元大25購07","1.41","1.21"
"030051","慧洋元大25購04","1.60","1.56"
"030052","大立光元大29購04","1.54","1.54"
"030053","大立光元大2A購01","1.28","1.27"
"030054","大立光元大2B購01","","1.59"
"030055","聯詠元大25購04","1.49","1.34"
"030056","智原元大25購03","","1.61"
"030057","智原元大2A購01","","1.71"
"030058","晶睿元大28購02","1.92","2.04"
"030059","敦泰元大27購03","0.77","1.03"
"03005P","臺股指群益23售19","","2.25"
"030060","材料元大25購03","1.89","1.88"
"030061","新唐元大25購02","0.76","0.84"
"030062","祥碩元大25購06","1.26","1.42"
"030063","嘉聯益元大25購04","","0.68"
"030064","晶心科元大25購02","1.36","1.32"
"030065","緯穎元大25購09","1.25","1.69"
"030066","力智元大25購03","","0.92"
"030067","威鋒電元大25購03","1.24","1.54"
"030068","南電元大2B購03","1.40","1.79"
"030069","南茂元大25購01","","0.75"
"03006P","臺股指群益23售20","","2.62"
"03006X","元展06","","68.58"
"030070","欣興兆豐27購02","0.67","1.00"
"030071","晶心科兆豐25購01","0.84","0.83"
