statistic_yyy,according,district_code,site_id,sex,single_multiple_birth,birth_count
統計年,按照別,區域別代碼,區域別,性別,胎別,嬰兒出生數
110,按登記日期分,65000010,新北市板橋區,男,單胎,1652
110,按登記日期分,65000010,新北市板橋區,男,雙胞胎,92
110,按登記日期分,65000010,新北市板橋區,男,3胞胎,3
110,按登記日期分,65000010,新北市板橋區,男,4胞胎,0
110,按登記日期分,65000010,新北市板橋區,男,5胞胎以上,0
110,按登記日期分,65000010,新北市板橋區,女,單胎,1546
110,按登記日期分,65000010,新北市板橋區,女,雙胞胎,89
110,按登記日期分,65000010,新北市板橋區,女,3胞胎,0
110,按登記日期分,65000010,新北市板橋區,女,4胞胎,0
110,按登記日期分,65000010,新北市板橋區,女,5胞胎以上,0
110,按登記日期分,65000020,新北市三重區,男,單胎,1102
110,按登記日期分,65000020,新北市三重區,男,雙胞胎,58
110,按登記日期分,65000020,新北市三重區,男,3胞胎,0
110,按登記日期分,65000020,新北市三重區,男,4胞胎,0
110,按登記日期分,65000020,新北市三重區,男,5胞胎以上,0
110,按登記日期分,65000020,新北市三重區,女,單胎,1048
110,按登記日期分,65000020,新北市三重區,女,雙胞胎,43
110,按登記日期分,65000020,新北市三重區,女,3胞胎,0
110,按登記日期分,65000020,新北市三重區,女,4胞胎,0
110,按登記日期分,65000020,新北市三重區,女,5胞胎以上,0
110,按登記日期分,65000030,新北市中和區,男,單胎,1123
110,按登記日期分,65000030,新北市中和區,男,雙胞胎,49
110,按登記日期分,65000030,新北市中和區,男,3胞胎,0
110,按登記日期分,65000030,新北市中和區,男,4胞胎,0
110,按登記日期分,65000030,新北市中和區,男,5胞胎以上,0
110,按登記日期分,65000030,新北市中和區,女,單胎,983
110,按登記日期分,65000030,新北市中和區,女,雙胞胎,63
110,按登記日期分,65000030,新北市中和區,女,3胞胎,0
110,按登記日期分,65000030,新北市中和區,女,4胞胎,0
110,按登記日期分,65000030,新北市中和區,女,5胞胎以上,0
110,按登記日期分,65000040,新北市永和區,男,單胎,489
110,按登記日期分,65000040,新北市永和區,男,雙胞胎,20
110,按登記日期分,65000040,新北市永和區,男,3胞胎,0
110,按登記日期分,65000040,新北市永和區,男,4胞胎,0
110,按登記日期分,65000040,新北市永和區,男,5胞胎以上,0
110,按登記日期分,65000040,新北市永和區,女,單胎,461
110,按登記日期分,65000040,新北市永和區,女,雙胞胎,24
110,按登記日期分,65000040,新北市永和區,女,3胞胎,0
110,按登記日期分,65000040,新北市永和區,女,4胞胎,0
110,按登記日期分,65000040,新北市永和區,女,5胞胎以上,0
110,按登記日期分,65000050,新北市新莊區,男,單胎,1433
