年度,行業別,經常性薪資-薪資,經常性薪資-女/男,專業人員-薪資,專業人員-女/男,技術員及助理專業人員-薪資,技術員及助理專業人員-女/男,事務支援人員-薪資,事務支援人員-女/男,服務及銷售工作人員-薪資,服務及銷售工作人員-女/男,技藝_機械設備操作及組裝人員-薪資,技藝_機械設備操作及組裝人員-女/男,基層技術工及勞力工-薪資,基層技術工及勞力工-女/男
2020,工業及服務業,28719,99.32,35432,99.23,30361,99.38,27710,99.48,26817,99.54,27152,98.94,24949,99.43
2020,工業,28626,99.15,35466,99.11,30170,99.23,27683,99.33,27172,99.43,26813,98.78,24816,99.35
2020,礦業及土石採取業,27851,98.4,35348,99.91,30105,98.97,25923,99.13,25426,98.85,28924,98.86,25217,99.13
2020,石油及天然氣礦業,30613,99.68,38423,100,27944,100,27944,100,— ,— ,— ,— ,— ,— 
2020,砂、石採取及其他礦業,27228,97.97,30979,99.31,30946,99.06,25406,99.12,25426,98.85,28992,98.81,25217,99.13
2020,製造業,28547,99.25,35457,99.17,29996,99.3,27765,99.33,27148,99.42,26558,99.08,24712,99.42
2020,食品及飼品製造業,27662,99.22,32716,99.35,29269,99.01,27210,99.62,26335,99.67,26617,98.54,24735,99.67
2020,飲料及菸草製造業,30299,99.63,35540,100.31,31827,99.63,29412,99.56,29419,99.35,29176,99.83,27104,100
2020,紡織業,27614,99.08,33341,99.46,29266,99.18,27349,98.87,26311,99.44,26395,99.37,24581,99.06
2020,成衣及服飾品製造業,27849,99.6,32716,99.1,30130,99.15,27478,99.65,27043,100,25911,100.39,24505,99.9
2020,皮革、毛皮及其製品製造業,27426,99,32565,98.85,29654,99.87,27039,99.95,26020,98.47,26254,97.15,24232,99.96
2020,木竹製品製造業,27073,99.63,35220,99.66,28904,98.34,26586,99.06,27946,100,26121,100.12,23977,100.03
2020,紙漿、紙及紙製品製造業,28220,98.92,34173,99.64,30224,98.9,27652,99.22,27640,99.1,26656,98.13,25020,99.01
2020,印刷及資料儲存媒體複製業,28138,99.31,33816,99.07,30127,98.63,26783,99.33,29466,101.19,26865,99.99,24983,98.52
2020,石油及煤製品製造業,27820,99.49,36203,100,29096,97.89,24964,100,27464,100,26782,100,24431,100
2020,化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維製造業,31377,98.7,39194,98.47,32527,98.85,30334,99.13,29000,99.46,29070,97.6,25403,97.56
2020,其他化學製品製造業,29236,99.77,34817,99.78,30172,99.55,28509,99.72,27943,100,27354,100.09,24840,99.91
2020,藥品及醫用化學製品製造業,29150,99.67,34855,99.49,30609,100.09,28485,99.87,26631,99.02,26440,99.4,24494,99.96
2020,橡膠製品製造業,27269,99,32008,97.86,28615,98.72,26623,98.71,26481,100,26285,98.98,24636,99.02
2020,塑膠製品製造業,28162,99.01,34759,98.94,29956,99.1,27498,99.06,28155,97.8,26185,99.14,24766,99.75
2020,非金屬礦物製品製造業,29804,99.06,37155,99.43,31387,98.97,28479,98.65,28264,98.55,28025,99.3,25139,99.22
2020,基本金屬製造業,28426,98.78,34478,98.66,29806,98.27,27597,98.61,27174,99.16,27299,98.9,24912,99.45
2020,金屬製品製造業,27311,99.07,33448,98.13,29111,99.44,26563,99.06,26483,99.15,26010,99.01,24578,99.41
2020,電子零組件製造業,29229,99.63,37226,99.5,30342,99.72,28461,99.87,26890,99.9,26081,99.63,24404,99.77
2020,電腦、電子產品及光學製品製造業,29786,99.33,37511,99.35,30965,99.37,29150,99.41,27227,99.83,26248,99.6,24406,99.76
2020,電力設備及配備製造業,28486,99.36,35265,98.74,29883,99.6,27734,99.5,27636,99.64,26308,99.4,24767,99.77
2020,機械設備製造業,28495,99.18,35017,98.93,29931,99.5,27446,99.26,27105,99.23,27007,99.15,24787,99.19
2020,汽車及其零件製造業,27892,98.8,33506,98.57,29340,98.67,27050,98.79,26275,99.5,26497,99.14,24976,98.99
2020,其他運輸工具及其零件製造業,27976,99.1,33916,99.93,29144,99.02,27710,99.27,26454,99.32,26316,98.93,24731,99.51
2020,家具製造業,26506,99.7,32569,100,27609,99.8,26111,99.88,25789,100,25739,99.14,24712,98.93
2020,其他製造業,27367,99.29,33428,99.57,28225,99.35,26619,99.68,26969,99.16,25680,98.62,24541,99.27
2020,產業用機械設備維修及安裝業,30090,98.66,37350,99.59,31344,98.08,27852,100.39,28871,100,29267,96.81,26039,97.64
2020,電力及燃氣供應業,30436,99.34,35730,99.81,30705,99.79,28709,99.5,29089,100,30150,99.59,27243,98.71
2020,電力供應業,31812,100.22,37708,100,31877,99.77,30323,101.66,28528,100,31684,97.98,28132,100
2020,氣體燃料供應業,29476,98.6,33979,99.13,29959,99.58,27751,98.9,29865,100,29304,99.47,26444,98.08
2020,用水供應及污染整治業,29301,98.96,35085,99.06,32362,99.91,27626,99.62,28194,99.3,29776,97.9,25124,99.93
2020,用水供應業,33653,100.13,42409,100,40480,100,31804,100.64,30332,100,29615,100,27872,100
2020,廢水及污水處理業,28495,96.94,32918,94.36,29209,97.61,26952,98.59,— ,— ,27333,95.5,26560,100
2020,廢棄物清除業,27799,97.71,32189,99.35,29862,98.08,25764,99.93,27016,100,31564,97.7,24454,99.88
2020,廢棄物處理業,29196,99.72,34708,100.53,31220,99.98,28143,99.34,26618,98.67,29558,99.95,25290,100.14
2020,資源回收處理及污染整治業,27097,97.76,31541,97.51,28579,98.47,26109,100.7,27131,97.27,27442,93.45,24504,99.6
2020,營建工程業,29046,98.41,35667,98.3,31102,98.39,27100,99.37,26804,99.87,28199,98.13,25776,98.46
2020,建築工程業,30190,98.5,36252,100.4,32534,98.74,28123,99.48,26905,100,27461,98.02,24237,99.14
2020,土木工程業,30459,98.27,38021,97.99,32020,98.07,27802,98.69,27953,100,30049,98.43,26000,99.33
